id,original,team,surface,pronunciation,type,org_id,image,image_page
17,相沢晋,楽天,晋,ススム,given,17,http://commons.wikimedia.org/wiki/Special:FilePath/S_aizawa20140924.jpg,https://commons.wikimedia.org/wiki/File:S_aizawa20140924.jpg
18,相沢進,毎日-高橋-トンボ-高橋,相沢,アイザワ,family,18,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_652972a33d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_652972a33d.svg
18,相沢進,毎日-高橋-トンボ-高橋,相沢進,アイザワススム,full,18,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_652972a33d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_652972a33d.svg
18,相沢進,毎日-高橋-トンボ-高橋,進,ススム,given,18,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_652972a33d.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_652972a33d.svg
19,會澤翼,広島,會澤,アイザワ,family,19,http://commons.wikimedia.org/wiki/Special:FilePath/HC-Tsubasa-Aizawa.jpg,https://commons.wikimedia.org/wiki/File:HC-Tsubasa-Aizawa.jpg
19,會澤翼,広島,會澤翼,アイザワツバサ,full,19,http://commons.wikimedia.org/wiki/Special:FilePath/HC-Tsubasa-Aizawa.jpg,https://commons.wikimedia.org/wiki/File:HC-Tsubasa-Aizawa.jpg
19,會澤翼,広島,翼,ツバサ,given,19,http://commons.wikimedia.org/wiki/Special:FilePath/HC-Tsubasa-Aizawa.jpg,https://commons.wikimedia.org/wiki/File:HC-Tsubasa-Aizawa.jpg
20,相澤寿聡,広島,相澤,アイザワ,family,20,http://commons.wikimedia.org/wiki/Special:FilePath/HC-Toshiaki-Aizawa20110623.jpg,https://commons.wikimedia.org/wiki/File:HC-Toshiaki-Aizawa20110623.jpg
20,相澤寿聡,広島,相澤寿聡,アイザワトシアキ,full,20,http://commons.wikimedia.org/wiki/Special:FilePath/HC-Toshiaki-Aizawa20110623.jpg,https://commons.wikimedia.org/wiki/File:HC-Toshiaki-Aizawa20110623.jpg
20,相澤寿聡,広島,寿聡,トシアキ,given,20,http://commons.wikimedia.org/wiki/Special:FilePath/HC-Toshiaki-Aizawa20110623.jpg,https://commons.wikimedia.org/wiki/File:HC-Toshiaki-Aizawa20110623.jpg
21,会田照夫,ヤクルト,会田,アイダ,family,21,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b155202740.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b155202740.svg
21,会田照夫,ヤクルト,会田照夫,アイダテルオ,full,21,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b155202740.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b155202740.svg
21,会田照夫,ヤクルト,照夫,テルオ,given,21,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_b155202740.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_b155202740.svg
22,会田豊彦,中日,会田,アイダ,family,22,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_15152cb15c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_15152cb15c.svg
22,会田豊彦,中日,会田豊彦,アイダトヨヒコ,full,22,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_15152cb15c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_15152cb15c.svg
22,会田豊彦,中日,豊彦,トヨヒコ,given,22,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_15152cb15c.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_15152cb15c.svg
23,会田有志,巨人,会田,アイダ,family,23,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/baseball/bb_76ad3faecd.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/baseball/bb_76ad3faecd.svg
