id,original,surface,pronunciation,class,extinct,family,genus,image,image_page,wikidata
62,アカニレ,アカニレ,アカニレ,双子葉,no,ニレ科,ニレ属,http://commons.wikimedia.org/wiki/Special:FilePath/Mature_Ulmus_rubra_in_graveyard.jpg,https://commons.wikimedia.org/wiki/File:Mature_Ulmus_rubra_in_graveyard.jpg,Q1534893
63,アカネ,アカネ,アカネ,双子葉,no,アカネ科,アカネ属,http://commons.wikimedia.org/wiki/Special:FilePath/Rubia_akane_var._erecta_%E7%9B%B4%E7%AB%8B%E7%B4%85%E8%97%A4%E8%8D%89_%28mingiweng%29.jpg,https://commons.wikimedia.org/wiki/File:Rubia_akane_var._erecta_%E7%9B%B4%E7%AB%8B%E7%B4%85%E8%97%A4%E8%8D%89_%28mingiweng%29.jpg,Q10869718
64,アカネスゲ,アカネスゲ,アカネスゲ,単子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_monocot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
65,アカネスミレ,アカネスミレ,アカネスミレ,双子葉,no,スミレ科,スミレ属,http://commons.wikimedia.org/wiki/Special:FilePath/Viola_phalacrocarpa_1.JPG,https://commons.wikimedia.org/wiki/File:Viola_phalacrocarpa_1.JPG,Q15232348
66,アカネムグラ,アカネムグラ,アカネムグラ,双子葉,no,アカネ科,アカネ属,http://commons.wikimedia.org/wiki/Special:FilePath/Rubia_jesoensis_1.JPG,https://commons.wikimedia.org/wiki/File:Rubia_jesoensis_1.JPG,Q15442052
67,アカハダコバンノキ,アカハダコバンノキ,アカハダコバンノキ,双子葉,no,コミカンソウ科,Margaritaria,http://commons.wikimedia.org/wiki/Special:FilePath/Margaritaria_indica4.jpg,https://commons.wikimedia.org/wiki/File:Margaritaria_indica4.jpg,Q15248881
68,アカハダノキ,アカハダノキ,アカハダノキ,双子葉,no,,,https://github.com/soramimic/soramimic-wordlists/releases/download/class-image-v1/class_dicot.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/class-image-v1,
69,アカバナ,アカバナ,アカバナ,双子葉,no,アカバナ科,アカバナ属,http://commons.wikimedia.org/wiki/Special:FilePath/Epilobium_pyrricholophum_3.JPG,https://commons.wikimedia.org/wiki/File:Epilobium_pyrricholophum_3.JPG,Q15235228
70,アカバナチシャノキ,アカバナチシャノキ,アカバナチシャノキ,双子葉,no,Cordiaceae,カキバチシャノキ属,http://commons.wikimedia.org/wiki/Special:FilePath/Starr_070111-3202_Cordia_sebestena.jpg,https://commons.wikimedia.org/wiki/File:Starr_070111-3202_Cordia_sebestena.jpg,Q3042521
71,アカバナヒメアヤメ,アカバナヒメアヤメ,アカバナヒメアヤメ,単子葉,no,アヤメ科,トリトニア属,http://commons.wikimedia.org/wiki/Special:FilePath/Tritonia_crocata_1.jpg,https://commons.wikimedia.org/wiki/File:Tritonia_crocata_1.jpg,Q15251475
72,アカバナムシヨケギク,アカバナムシヨケギク,アカバナムシヨケギク,双子葉,no,キク科,ヨモギギク属,http://commons.wikimedia.org/wiki/Special:FilePath/Tanacetum_cinerariifolium_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-269.jpg,https://commons.wikimedia.org/wiki/File:Tanacetum_cinerariifolium_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-269.jpg,Q852073
